FLOWS	STATE	ADR	CLK	CIR	WR	CB	CD	CBA	BUS	DAD	SPS	ALU	SBC	SBM	SDM	SBA	UBF	SRX	RIF	UPF

E3	MUL7	000	2	0	0	0	0	0	0	00	0	00	00	00	0	0	00	10	00	204
E3	MUL19	001	2	0	0	0	0	0	0	00	0	00	00	00	0	0	00	00	00	133
E3	MUL2	002	2	0	0	0	0	0	0	00	0	00	00	00	0	0	00	10	00	015
E3	MUL4	003	2	0	0	0	0	0	0	00	0	00	00	00	0	0	00	01	12	075

F5	FDV1	004	2	0	0	1	0	0	0	00	0	00	00	00	0	0	00	01	15	006
E3	MUL16	005	4	0	0	0	1	0	0	00	0	00	00	00	0	0	00	00	00	011
F5	FDV2	006	6	0	0	1	1	0	0	10	0	06	00	00	2	0	00	01	14	160
E3	MUL12	007	4	0	0	0	1	0	0	00	0	00	00	00	0	0	00	00	00	016

E3	MUL15	010	2	0	0	0	0	0	0	00	0	00	00	00	0	0	00	00	00	177
E3	MUL18	011	2	0	3	0	0	0	0	00	0	00	00	00	2	0	00	11	01	177
E3	MUL14	012	2	0	0	0	0	0	0	00	0	00	00	00	0	0	00	00	00	177
E3	MUL17	013	2	0	3	0	0	0	0	00	0	00	00	00	2	0	00	11	01	177

E3	MUL1	014	4	0	0	0	1	0	0	10	0	06	00	00	0	0	00	00	00	000
E3	MUL3	015	4	0	0	0	1	0	0	00	0	00	00	00	0	0	00	10	00	001
E3	MUL13	016	2	0	3	0	0	0	0	00	0	00	00	00	2	0	00	11	01	010
F3	ADD23	017	6	0	3	0	1	0	0	00	0	14	00	00	2	0	00	01	11	361

E4	DIV20	020	2	0	0	1	0	0	0	00	0	00	00	00	0	0	00	11	01	076
E5	DIV23	021	4	0	0	0	1	0	0	00	0	20	00	00	0	0	00	00	00	071
E4	DIV4	022	2	0	0	0	0	0	0	00	0	00	00	00	0	0	00	00	00	177
E5	DIV33	023	4	0	0	0	1	0	0	00	0	20	00	00	0	0	00	00	00	070

E4	DIV13	024	2	0	0	0	0	0	0	00	0	00	00	00	0	0	00	11	01	147
E5	DIV27	025	4	0	0	0	1	0	0	00	0	11	00	00	0	0	00	00	00	101
E4	DIV7	026	2	0	0	1	0	0	0	00	0	00	00	00	0	0	00	10	00	057
E5	DIV31	027	4	0	0	0	1	0	0	10	0	06	00	00	0	0	00	00	00	103

E2	ASH2	030	2	0	0	0	0	0	0	00	0	00	00	00	0	0	00	00	00	177
E4	DIV16	031	6	0	0	0	1	0	0	14	0	00	00	00	2	0	00	00	00	065
F5	FDV21	032	2	0	0	1	0	0	0	00	0	00	00	00	0	0	00	01	11	372
E4	DIV11	033	2	0	0	0	0	0	0	00	0	00	00	00	0	0	00	00	00	037

E2	ASH5	034	2	0	0	0	0	0	0	00	0	00	00	00	0	0	00	00	00	123
E4	DIV19	035	6	0	0	0	1	0	0	14	0	00	00	00	2	0	00	00	00	153
E2	ASH3	036	2	0	0	0	0	0	0	00	0	00	00	00	0	0	00	00	00	063
E4	DIV12	037	2	0	0	0	0	0	0	00	0	00	00	00	0	0	00	00	00	177

E2	ASH9	040	4	0	0	0	1	0	0	00	0	00	00	00	0	0	00	11	01	030
F4	FML4	041	2	0	0	1	0	0	0	00	0	00	00	00	0	0	00	00	00	130
F5	FDV23	042	2	0	0	1	0	0	0	00	0	00	00	00	0	0	00	01	13	211
F4	FML3	043	6	0	3	1	1	0	0	00	0	23	00	00	2	0	00	01	15	176

E2	ASH16	044	2	0	0	0	0	0	0	00	0	00	00	00	0	0	00	00	00	243
E5	DIV25	045	6	0	0	0	1	0	0	00	0	00	00	00	0	0	00	00	00	053
E2	ASH10	046	2	0	0	0	0	0	0	00	0	00	00	00	0	0	00	00	00	223
E5	DIV29	047	4	0	0	0	1	0	0	00	0	11	01	17	0	0	00	00	00	104

E5	DIV37	050	4	0	0	0	1	0	0	00	0	20	00	00	0	0	00	00	00	106
E5	DIV40	051	2	0	0	0	0	0	0	00	0	00	00	00	0	0	00	00	00	054
E5	DIV35	052	4	0	0	0	1	0	0	00	0	11	01	17	0	0	00	00	00	105
E5	DIV26	053	2	0	3	0	0	0	0	00	0	00	00	00	2	0	00	10	00	177

E5	DIV41	054	2	0	0	0	0	0	0	00	0	00	00	00	0	0	00	00	00	037
