FLOWS	STATE	ADR	CON	FC1	FUB	MHR	FRD	ERD	SRD	SDR	CVM	NZM	CCC	GPC	CEE	CNT	EUB	CBR

E3	MUL7	000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	00	1
E3	MUL19	001	0	0	0	0	0	0	3	0	0	0	0	0	0	1	00	1
E3	MUL2	002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	01	1
E3	MUL4	003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	01	1

F5	FDV1	004	0	0	0	0	0	0	0	0	0	2	4	0	0	0	14	0
E3	MUL16	005	0	0	0	0	0	1	1	0	1	0	1	0	0	0	00	0
F5	FDV2	006	0	0	0	0	0	0	0	0	0	0	0	6	0	0	00	0
E3	MUL12	007	0	0	0	0	0	1	1	0	0	0	0	0	0	0	04	0

E3	MUL15	010	0	0	0	0	0	0	0	0	1	0	1	0	0	0	00	0
E3	MUL18	011	0	0	0	0	0	0	0	0	0	3	4	0	0	0	00	0
E3	MUL14	012	0	0	0	0	0	0	0	0	5	0	1	0	0	0	00	0
E3	MUL17	013	0	0	0	0	0	0	0	0	5	2	5	0	0	0	00	0

E3	MUL1	014	0	0	0	0	0	0	0	0	5	0	1	0	0	2	00	0
E3	MUL3	015	0	0	0	0	0	0	0	3	0	0	0	0	0	0	00	0
E3	MUL13	016	0	0	0	0	0	0	0	0	2	3	6	0	0	0	00	0
F3	ADD23	017	0	0	0	0	0	0	2	0	0	0	0	4	0	0	00	0

E4	DIV20	020	0	0	0	0	0	0	0	0	0	3	4	0	0	0	03	0
E5	DIV23	021	0	0	0	0	0	1	3	0	0	0	0	0	0	0	02	0
E4	DIV4	022	0	0	0	0	0	0	0	0	1	1	7	0	0	0	00	0
E5	DIV33	023	0	0	0	0	0	1	3	0	0	0	0	0	0	0	02	0

E4	DIV13	024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	00	1
E5	DIV27	025	0	0	0	0	0	1	3	0	0	0	0	0	0	0	00	0
E4	DIV7	026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	00	0
E5	DIV31	027	0	0	0	0	0	1	3	0	0	0	0	0	0	0	00	0

E2	ASH2	030	0	0	0	0	0	0	0	0	5	2	7	0	0	0	00	0
E4	DIV16	031	0	0	0	0	0	1	2	2	0	0	0	0	0	1	00	1
F5	FDV21	032	0	0	0	0	0	0	1	0	0	0	0	0	0	1	00	0
E4	DIV11	033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	00	0

E2	ASH5	034	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10	0
E4	DIV19	035	0	0	0	0	0	1	2	2	0	0	0	2	0	1	00	1
E2	ASH3	036	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10	0
E4	DIV12	037	0	0	0	0	0	0	0	0	1	0	2	0	0	0	00	0

E2	ASH9	040	0	0	0	0	0	1	3	0	0	0	0	0	0	0	00	0
F4	FML4	041	0	0	0	0	1	0	3	0	0	0	0	6	0	0	10	0
F5	FDV23	042	0	0	0	0	0	0	1	0	0	0	0	0	0	0	00	0
F4	FML3	043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	00	1

E2	ASH16	044	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10	0
E5	DIV25	045	0	0	0	0	0	1	1	0	0	0	0	0	0	0	00	1
E2	ASH10	046	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10	0
E5	DIV29	047	0	0	0	0	0	1	3	0	0	0	0	0	0	0	00	0

E5	DIV37	050	0	0	0	0	0	1	1	0	0	0	0	0	0	0	00	0
E5	DIV40	051	0	0	0	0	0	0	0	0	5	2	7	0	0	0	00	0
E5	DIV35	052	0	0	0	0	0	1	3	0	0	0	0	0	0	0	00	0
E5	DIV26	053	0	0	0	0	0	0	0	0	5	2	7	0	0	0	00	0

E5	DIV41	054	0	0	0	0	0	0	0	0	1	0	2	0	0	0	00	0
E4	DIV2	055	0	0	0	0	0	0	0	0	0	0	0	0	0	2	04	1
E5	DIV42	056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	00	0
E4	DIV8	057	0	0	0	0	0	0	0	3	0	0	0	4	0	0	00	1

E4	DIV9	060	0	0	0	0	0	0	0	0	1	1	7	0	0	0	03	0
E4	DIV10	061	0	0	0	0	0	0	2	0	0	0	0	0	0	0	00	0
E4	DIV15	062	0	0	0	0	0	0	2	0	0	0	0	0	0	0	00	0
E2	ASH4	063	0	0	0	0	0	0	0	0	7	0	1	0	0	1	10	1

F2	ADD3	064	0	0	0	3	0	0	0	0	4	0	1	0	0	0	10	1
E4	DIV17	065	0	0	0	0	0	0	0	0	0	0	0	0 ?	0	0	07	0
E4	DIV18	066	0	0	0	0	0	0	2	0	5	0	1	0	0	1	00	0
E2	ASH14	067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	00	0

E5	DIV34	070	0	0	0	0	0	0	3	0	0	0	0	0	0	0	00	1
E5	DIV24	071	0	0	0	0	0	0	3	0	0	0	0	0	0	0	00	1
F2	ADD17	072	0	0	0	3	0	1	1	0	0	0	0	0	0	0	00	0
0	X	073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	00	0

E5	DIV39	074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	01	1
E3	MUL5	075	0	0	0	0	0	0	0	3	0	0	0	0	0	0	00	1
E4	DIV6	076	0	0	0	0	0	0	0	0	4	0	1	0	0	0	10	1
E2	ASH13	077	0	0	0	0	0	0	3	0	0	0	0	0	0	0	00	0

E1	EI0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	1
E5	DIV28	101	0	0	0	0	0	0	3	0	0	0	0	0	0	0	00	1
E1	EI3	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	00	0
E5	DIV32	103	0	0	0	0	0	0	3	0	0	0	0	0	0	0	00	1

E5	DIV30	104	0	0	0	0	0	0	1	0	0	0	0	0	0	0	00	0
