FLOWS	STATE	ADR	CLK	CIR	WR	CB	CD	CBA	BUS	DAD	SPS	ALU	SBC	SBM	SDM	SBA	UBF	SRX	RIF	UPF	MM

01	FET01	000	3	0	0	0	0	1	1	00	0	00	00	00	0	1	00	01	07	001	17
01	FET03	001	2	1	3	1	0	0	0	00	0	00	00	00	1	0	00	01	13	004	17
10	SER01	002	6	0	0	0	0	0	0	00	0	00	00	00	0	0	26	01	13	015	17
04	MOV21	003	4	0	0	0	1	0	0	00	0	32	00	05	2	0	27	00	00	204	17

01	FET04	004	4	0	0	0	1	1	1	00	0	11	02	17	0	0	37	01	07	005	17
01	FET05	005	2	0	3	0	0	0	0	00	0	00	00	00	2	0	00	01	07	100	17
10	SER04	006	6	0	0	0	0	0	0	00	0	00	00	00	0	0	26	01	13	015	17
06	TRP08	007	5	0	0	0	0	1	1	00	0	11	02	17	0	0	00	01	14	115	13

06	TRP06	010	6	0	3	0	1	0	0	00	0	32	00	17	2	0	11	01	14	216	17
11	CON01	011	6	0	0	0	0	1	0	00	0	00	00	00	2	1	00	01	07	255	17
10	SER06	012	3	0	0	0	0	0	2	00	0	00	00	00	0	0	00	01	13	020	17
01	FET00	013	3	0	0	0	0	1	1	00	0	00	00	00	0	1	00	01	07	001	17

10	SER09	014	3	0	0	0	0	0	0	00	0	00	00	00	0	0	00	01	13	022	17
10	SER05	015	2	0	0	0	0	0	0	00	0	00	00	00	0	0	00	01	13	010	17
01	FET02	016	3	0	0	0	0	1	1	00	0	00	00	00	0	0	00	01	07	001	17
10	SER02	017	6	0	0	0	0	0	0	00	0	00	00	00	2	0	26	01	13	015	17

10	SER07	020	4	0	0	0	0	0	2	00	0	00	00	00	0	0	25	01	13	021	17
10	SER08	021	2	0	0	0	0	0	0	00	0	00	00	00	0	0	00	01	13	014	17
10	SER10	022	6	0	3	1	0	0	0	00	0	00	00	00	1	0	07	01	14	023	17
10	SER11	023	2	0	0	0	0	0	0	00	0	00	00	00	0	0	00	01	14	006	17

11	CON03	024	4	0	0	0	1	0	0	00	0	00	00	00	2	0	00	01	00	026	17
06	RST01	025	7	0	0	0	0	0	0	00	0	00	00	00	2	0	02	00	00	040	17
11	CON04	026	6	0	0	0	0	0	0	00	0	00	00	00	2	0	06	00	00	046	17
11	CON07	027	4	0	0	0	1	0	0	00	0	32	14	17	2	0	00	00	00	044	17

11	CON05	030	6	0	0	0	0	0	0	00	0	00	00	00	2	0	00	00	00	315	17
